Словник меню.
A1-Повідомлення	Виведення текстових повідомлень
A0-Технологія	Редагування параметрів завдання та циклограм
A7-Ред.Устав	Редагування числових уставок
A8-Ред.БітУст.	Редагування бітових уставок
AE-Збер.Устав.	Збереження уставок в енергонезалежну пам'ять
A6-Індикація.	Індикація поточних параметрів
F1-Комб.Редаг.	Редагування числових уставок та індикації
F2-Налаштування	Режими налаштування
FA-Останов	Перехід до режиму «Останов»
A4-Тест АЦП.	Тестування аналогових входів
A9-Тест ЦАП.	Тестування аналогових виходів
AA-Тест Двх.	Тестування дискретних входів
AB-Тест Двих.	Тестування дискретних виходів
AC-НалашЖурн.	Налаштування журналу подій
FB-Журнал.	Перегляд журналу подій
F0-НалашРеєстр	Вибір параметрів вбудованого реєстратора
FС-Ум.Реєстр	Налаштування умов запуску/зупинки реєстратора
F5-Відн.Авар.	Завантаження даних реєстратора з «ЕОЗУ»
F6-Годинник.	Годинник реального часу
F7-НалашГодин.	Налаштування годинника
AD-Вивед. ЦАП.	Виведення даних у ЦАП
F8-Про систему.	Виведення інформації про систему
F9-Відн.Устав.	Відновлення уставок з «ЕОЗУ»
AF-Пароль.	Обмеження доступу до сервісних програм
B6-Мережа:Індик.	Індикація параметрів мережі
B7-Мережа:Устав.	Редагування числових мережних уставок
B8-Мережа:БітУс.	Редагування бітових мережних уставок
FE-Швид.пульта	Зміна швидкості виведення
Словник швидкість
N#=0 - або не задана швидкість, або N#-масштаб = 0, якщо аналогове завдання.
